review,cleaned,sentiment
"""포렌코즈 45호 코지블로섬은 따뜻한 코랄과 살구빛이 섞인 색감으로, MLBB 립 추천에 딱 맞는 자연스러운 톤이에요. 웜톤 피부에 바르면 피부가 한층 더 화사해 보이고, 웜톤 립 추천으로 강력 추천할 만해요. 이 색은 너무 튀지 않으면서도 생기를 더해주는 데일리 립 메이크업에 최적화된 느낌? ?? 특히 조명 아래에서 발색이 더 예쁘게 돋보여서, 셀카 찍을 때마다 기분이 좋아져요.""",포렌코즈 45호 코지블로섬은 따뜻한 코랄과 살구빛이 섞인 색감으로 MLBB 립 추천에 딱 맞는 자연스러운 톤이에요 웜톤 피부에 바르면 피부가 한층 더 화사해 보이고 웜톤 립 추천으로 강력 추천할 만해요 이 색은 너무 튀지 않으면서도 생기를 더해주는 데일리 립 메이크업에 최적화된 느낌 특히 조명 아래에서 발색이 더 예쁘게 돋보여서 셀카 찍을 때마다 기분이 좋아져요,긍정
"""포렌코즈 타투 끌레르 벨벳틴트가 리뉴얼되면서, 특히 38번 앨리스 컬러가 더 세련되고 부드럽게 바뀌었어요.",포렌코즈 타투 끌레르 벨벳틴트가 리뉴얼되면서 특히 38번 앨리스 컬러가 더 세련되고 부드럽게 바뀌었어요,긍정
"""컬러 진심 너무 예쁘지 않나요.. 발색 하자마자 너무 놀라서 입틀막 해버렸답니다.. 여리여리한 컬러에 포슬+광 텍스처라 아무렇게나 발라도 예쁘고 틴트 외관은 또 왜 이렇게 예쁘게 리뉴얼 됐는지,, 요즘 제 파우치 필수템이에요 :)""",컬러 진심 너무 예쁘지 않나요 발색 하자마자 너무 놀라서 입틀막 해버렸답니다 여리여리한 컬러에 포슬광 텍스처라 아무렇게나 발라도 예쁘고 틴트 외관은 또 왜 이렇게 예쁘게 리뉴얼 됐는지 요즘 제 파우치 필수템이에요,긍정
립라이너와 함께 사용해주었더니 입술이 도톰해보이고 좋습니다. ?? 생각보다 조금 더 형광기가 있는 컬러예요. 그래서 그런지 얼굴을 환하게 밝혀주는 느낌이 듭니다. 조명마다 컬러가 조금씩 달라보이네요. 사용감 부드러워요. 약간의 밀림이 있지만 티슈로 한번 찍어내어주면 좋을것같네요??,립라이너와 함께 사용해주었더니 입술이 도톰해보이고 좋습니다 생각보다 조금 더 형광기가 있는 컬러예요 그래서 그런지 얼굴을 환하게 밝혀주는 느낌이 듭니다 조명마다 컬러가 조금씩 달라보이네요 사용감 부드러워요 약간의 밀림이 있지만 티슈로 한번 찍어내어주면 좋을것같네요,긍정
벨벳틴트 부드러운 발림성에 색감이 참 예쁘게 표현되어 좋네요! 말린장미빛 컬러감이라 더 맘에 들어요~,벨벳틴트 부드러운 발림성에 색감이 참 예쁘게 표현되어 좋네요 말린장미빛 컬러감이라 더 맘에 들어요,긍정
각질도 없는 편인데 잘지워지고 밀려요... 또 구매는 안할거에요,각질도 없는 편인데 잘지워지고 밀려요 또 구매는 안할거에요,긍정
이거 매트립인지 모르고 샀어요ㅠㅠㅠ,이거 매트립인지 모르고 샀어요,긍정
"""컬러는 쨍한데 입술이 트더라구여 ㅠ",컬러는 쨍한데 입술이 트더라구여,긍정
응?뭐지하고 전에 쓰던거랑 비교했봤더니 크기가 변했네요 ㅋㅋㅋ,응뭐지하고 전에 쓰던거랑 비교했봤더니 크기가 변했네요,긍정
일단 사진이랑 발색 너무 다르고요..핑크착색 됩니다ㅜㅜ지속력도 썩 그렇게 좋은지는 모르겠어요 밥먹고나면 다지워져요,일단 사진이랑 발색 너무 다르고요핑크착색 됩니다지속력도 썩 그렇게 좋은지는 모르겠어요 밥먹고나면 다지워져요,긍정
발색이랑은 다 좋은데 내용물이 다 세서 버리는양이 더 많네요,발색이랑은 다 좋은데 내용물이 다 세서 버리는양이 더 많네요,긍정
이색은 정말 별로에요. 병원에 어울리는 아픈보라~~색이 좀 많이 아쉽네요,이색은 정말 별로에요 병원에 어울리는 아픈보라색이 좀 많이 아쉽네요,긍정
배송도 늦고 고객대응이 엉망입니다,배송도 늦고 고객대응이 엉망입니다,긍정
글쎄요.. 광고만큼은 썩…,글쎄요 광고만큼은 썩,긍정
발림성은 뻑뻑해요 지속력은 적당해요 발색력은 연해요,발림성은 뻑뻑해요 지속력은 적당해요 발색력은 연해요,긍정
색상이 바르니까 다르네요 지속력도 보통이요,색상이 바르니까 다르네요 지속력도 보통이요,긍정
사진처럼 처음 오픈하는데 틴트 본체랑 분리됐어요…예쁘고 지속력 오래가서 좋은데 쓰려고 오픈할때마다 분리되네요. 교환귀찮아서 그냥 쓰지만 검수 잘 부탁합니다,사진처럼 처음 오픈하는데 틴트 본체랑 분리됐어요예쁘고 지속력 오래가서 좋은데 쓰려고 오픈할때마다 분리되네요 교환귀찮아서 그냥 쓰지만 검수 잘 부탁합니다,긍정
"""흰끼가 돌아서 둥둥 떠보입니다.",흰끼가 돌아서 둥둥 떠보입니다,긍정
생각보다 색이 핫핑크였슴.. 상세패지랑은 많이 차이가 있는 듯.,생각보다 색이 핫핑크였슴 상세패지랑은 많이 차이가 있는 듯,긍정
"""밀착력이 생각보다 별로예요",밀착력이 생각보다 별로예요,긍정
"""옛날부터 쓰던 제품이라 좋아서 재구매 한건데 뭐가",옛날부터 쓰던 제품이라 좋아서 재구매 한건데 뭐가,긍정
"""뽐므, 뮈니, 미뇽, 피크, 카스테라, 룰러, 뮬리, 지니아, 브리스, 러디, 피러팻, 버드, 보라, 블랙체리, 퀸, 녹턴, 버디, 캄 구입해 봤는데 이번에 구입한 뮬리, 퀸, 글래스 틴트 모두 쨍한 핑크기가 심해서 놀랬어요 몇몇 컬러는 쨍한 맛에 바르지만, 전반적으로 뮤트한 느낌이 좋아서 포렌코즈 믿고 발랐었는데...""",뽐므 뮈니 미뇽 피크 카스테라 룰러 뮬리 지니아 브리스 러디 피러팻 버드 보라 블랙체리 퀸 녹턴 버디 캄 구입해 봤는데 이번에 구입한 뮬리 퀸 글래스 틴트 모두 쨍한 핑크기가 심해서 놀랬어요 몇몇 컬러는 쨍한 맛에 바르지만 전반적으로 뮤트한 느낌이 좋아서 포렌코즈 믿고 발랐었는데,긍정
"""너무 쨍한 핑크기가 돌아서 놀랐어요,",너무 쨍한 핑크기가 돌아서 놀랐어요,긍정
"""뚜겅이 불량이네요. 잠기지를 안네요.",뚜겅이 불량이네요 잠기지를 안네요,긍정
지속력이 좋다고해서 구입했는데 별루입니다,지속력이 좋다고해서 구입했는데 별루입니다,긍정
